strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
Wuhan/WH01/2019	2019-12-26	B	0.00	19A	China	Hubei	19A	201952	LR757998	Homo sapiens	BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China	B	Older	Asia	BGI, GigaScience, 16 Dai Fu Street, Tai Po Industrial Estate, N.T	Hunter et al			
IRN/12624/2020	2020-04-28	B.4	0.00	19A	Iran	Iran	19A	202018	MZ359830	Homo sapiens		B.4	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Azadmanesh et al			
IRN/HGRC-2-2162/2020	2020-03-26	B.4	1.00	19A	Iran	Iran	19A	202013	MT447177	Homo sapiens		B.4	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Khosravi et al			
IRN/COVID19-IRVSH3/2020	2020-05-01	B.4	1.00	19A	Iran	Iran	19A	202018	MT994286	Homo sapiens		B.4	Older	Asia	Yaftabad Hospital, Covid lab center	Shahabzadeh et al			
LKA/COV38/2020	2020-03-16	B.4	0.00	19A	Sri Lanka	Sri Lanka	19A	202012	MT371047	Homo sapiens		B.4	Older	Asia	University of Sri Jayewardenepura, Allergy, Immunology and Cell Biology Unit	Jeewandara et al			
CHN/SH-P70-A-3-Asia-Iran/2020	2020-03-06	B.4	0.00	19A	China	China	19A	202010	OR240668	Homo sapiens		B.4	Older	Asia	Fudan University, School of life sciense	Lv et al			
IND/nimh-19184/2020	2020-05-14	B.4	0.00	19A	India	Karnataka	19A	202020	MW191511	Homo sapiens	NIMHANS	B.4.7	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
CHN/SH-P27-C-2-Shanghai/2020	2020-02-09	B	0.00	19A	China	China	19A	202007	OR240468	Homo sapiens		B	Older	Asia	Fudan University, School of life sciense	Lv et al			
Japan/DP0543/2020	2020-02-17	B	0.00	19A	Japan	Japan	19A	202008	LC571006	Homo sapiens		B	Older	Asia	Pathogen Genomics Center; 1-23-1 Toyama, Shinjuku-ku, Tokyo 162-8640	Sekizuka et al			
Homosampiens/CHN/0601_14TY/2020	2020-06-01	B	0.00	19A	China	Hubei	19A	202023	MZ317937	Homo sapiens		B	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al			
PHL/GS/2020	2020-04-03	B.6	0.00	19A	Philippines	Manila	19A	202014	MT919768	Homo sapiens		B.6	Older	Asia	AFRIMS, VIROLOGY	Velasco et al			
IND/GMCKN443/2020	2020-03-16	B.6	0.00	19A	India	India	19A	202012	MT415322	Homo sapiens		B.6	Older	Asia	Osmania University, Virus Research Laboratory, Department of Zoology	Kammili et al			
IND/THSTI-BAL-914/2020	2020-04-16	B.6	0.00	19A	India	India	19A	202016	MZ356530	Homo sapiens		B.6	Older	Asia	Translational Health Science and Technology Institute, Infection and Immunology	Kumar et al			
IND/nimh-4263/2020	2020-04-23	B.6	0.00	19A	India	India	19A	202017	MW181808	Homo sapiens		B.6	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al			
CHN/Hefei-790/2020	2020-02-25	B	0.00	19A	China	China	19A	202009	MZ824653	Homo sapiens		A	Older	Asia	Anhui Medical University, College of life sciences	Cheng et al			
IND/166/2020	2020-01-31	A	0.00	19B	India	Kerala	19B	202005	MT050493	Homo sapiens		B	Older	Asia	National Institute of Virology, Maximum Containment Laboratory	Potdar et al			
CHN/SH-P203-2-Wuhan/2020	2020-01-29	A	0.00	19B	China	China	19B	202005	OR240372	Homo sapiens		A	Older	Asia	Fudan University, School of life sciense	Lv et al			
AUS/VIC13/2020	2020-01-31	A	0.00	19B	Australia	Victoria	19B	202005	MT450930	Homo sapiens	Victorian Infectious Diseases Reference Laboratory (VIDRL)	A	Older	Oceania	The Peter Doherty Institute for Infection and Immunity, Microbiological Diagnostic Unit Public Health Laboratory (MDU-PHL) and Victorian Infectious Diseases Reference Laboratory (VIDRL)	Seemann et al			
Homosampiens/CHN/AY025/2020	2020-01-26	A	0.00	19B	China	Anyan	19B	202005	MZ317963	Homo sapiens		A	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al			
Homosampiens/CHN/AY361/2020	2020-02-04	A	0.00	19B	China	Anyan	19B	202006	MZ317992	Homo sapiens		A	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al			
USA/WA-S94/2020	2020-02-28	A.1	0.00	19B	USA	Washington	19B	202009	MT627258	Homo sapiens	Washington State Department of Health	A.1	Older	North America	Seattle Flu Study, University of Washington Medical Center	Nickerson et al			
GTM/UGA-3070940/2021	2021-04-21	A.2.5.1	3.00	19B	Guatemala	Guatemala	19B	202116	OP313902	Homo sapiens		A.2.5	Older	North America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al			
Guatemala/UN-CDC-3536658-001/2020	2020-03-19	A.3	0.00	19B	Guatemala	Guatemala	19B	202012	MT844034	Homo sapiens		A	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Tao et al			
KHM/Kunming_kms-2/2020	2020-03-21	A	0.00	19B	Cambodia	Phnom Penh	19B	202012	MW341443	Homo sapiens		A.6	Older	Asia	Chinese Academy of Medical Science, Respiratory virus Laboratory	Li et al			
KOR/CNUHV03-CA22/2020	2020-05-20	A	2.00	19B	South Korea	South Korea	19B	202021	MT810119	Homo sapiens		A	Older	Asia	Chungnam National University, College of Veterinary Medicine	Seo et al			
CHN/SH-P182-4-Asia-India/2020	2020-07-02	A	0.00	19B	China	China	19B	202027	OR240648	Homo sapiens		A	Older	Asia	Fudan University, School of life sciense	Lv et al			
NGA/CV158/2020	2020-03-25	A	0.00	19B	Nigeria	Nigeria	19B	202013	OQ050383	Homo sapiens		A	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
UZB/hCoV-19-Uzb-CGB-25/2020	2020-12-07	A	2.00	19B	Uzbekistan	Tashkent	19B	202050	MW853569	Homo sapiens		A.24	Older	Asia	Center of Genomics and bioinformatics, Bioinformatics laboratory	Ayubov et al			
UGA/MUWRP-KIR200040S/2020	2020-07-31	A.25	0.00	19B	Uganda	Uganda	19B	202031	OM811375	Homo sapiens		A.25	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al			
CHN/SH-P181-4-Africa-South-Sudan/2020	2020-06-25	A	2.00	19B	China	China	19B	202026	OR240647	Homo sapiens		A	Older	Asia	Fudan University, School of life sciense	Lv et al			
UGA/MUWRP-MUL013N/2020	2020-11-30	A.23.1	4.00	19B	Uganda	Uganda	19B	202049	OM811374	Homo sapiens		A.23.1	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al			
UGA/MAKCHScov10/2021	2021-01-15	A.23.1	5.00	19B	Uganda	Uganda	19B	202102	MZ287371	Homo sapiens		A.23.1	Older	Africa	Makerere University, Immunology and Molecular Biology	Mwesigwa et al			
UGA/MUWRP-MUL200469/2020	2020-12-08	A.23.1	5.00	19B	Uganda	Uganda	19B	202050	OM811366	Homo sapiens		A.23.1	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al			
TUR/Kocak/2020	2020-02-09	A	0.00	19B	Turkey	Turkey	19B	202007	OL549281	Homo sapiens		A	Older	Europe	Kocak Farma, Vaccine R&D	Onen et al			
TUR/Tur-P9/2020	2020-09-12	A	0.00	19B	Turkey	Turkey	19B	202037	ON653598	Homo sapiens		A	Older	Europe	Kocak Farma, Vaccine R&D	Onen et al			
MLI/UCRC31/2020	2020-03-31	A	0.00	19B	Mali	Mali	19B	202014	MW474741	Homo sapiens		A	Older	Africa	University of Sciences, Techniques and Technologies of Bamako, University Clinical Research Center	Diarra et al			
JOR/SEARCH-2578-JOR/2020	2020-06-25	A	0.00	19B	Jordan	Irbid	19B	202026	PP045656	Homo sapiens	Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Lina Mohammad, Zein Naber, Amid Abdelnour with SEARCH Alliance San Diego with the help of Biolab Diagnostic Laboratories	A	Older	Asia	The Scripps Research Institute, Immunology and Microbiology	Andersen et al			
NGA/CV328/2020	2020-04-25	A	0.00	19B	Nigeria	Nigeria	19B	202017	OQ050497	Homo sapiens		A	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
GHA/84162_S45/2020	2020-04-25	A	0.00	19B	Ghana	Ghana	19B	202017	MT890242	Homo sapiens		A	Older	Africa	WACCBIP, University of Ghana, Department of Biochemistry, Cell and Molecular Biology	Ngoi et al			
SLE/KGH-G-8626/2020	2020-04-10	A	0.00	19B	Sierra Leone	Sierra Leone	19B	202015	MT872492	Homo sapiens	Kenema Government Hospital	A.12	Older	Africa	Kenema Government Hospital, Viral Hemorrhagic Fever Program	Goba et al			
IND/GBRC319/2020	2020-06-17	A	0.00	19B	India	Gujarat	19B	202025	MT800010	Homo sapiens	Department of MicroBiology, Government Medical College, Surat	A	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al			
IND/ILS24/2020	2020-05-13	A	0.00	19B	India	India	19B	202020	MW828330	Homo sapiens		A.7	Older	Asia	Institute of Life Sciences, Infectious Disease Biology	Syed et al			
Wuhan/IPBCAMS-WH-01/2019	2019-12-23	B	0.00	19A	China	Hubei	19A	201952	MT019529	Homo sapiens		B	Older	Asia	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College; Vision Medicals Co., Ltd, NHC Key Laboratory of Systems Biology of Pathogens and Christophe Merieux Laboratory	Ren et al			
