strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
Wuhan/IPBCAMS-WH-02/2019	2019-12-30	B	0.00	19A	China	Hubei	19A	202001	MT019530	Homo sapiens	B	Older	Asia	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, NHC Key Laboratory of Systems Biology of Pathogens and Christophe Merieux Laboratory	Ren et al				
Homosampiens/CHN/20200110093/2020	2020-01-10	B	0.00	19A	China	Hubei	19A	202002	MZ317949	Homo sapiens	B	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al				
Wuhan/WIV02/2019	2019-12-30	B	0.00	19A	China	Hubei	19A	202001	MN996527	Homo sapiens	B	Older	Asia	Wuhan Institute of Virology, Center for Biosafety Mega-Science, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens	Zhou et al				
IND/29/2020	2020-01-27	B	2.00	19A	India	Kerala	19A	202005	MT012098	Homo sapiens	B	Older	Asia	National Institute of Virology, Maximum Containment Laboratory	Yadav et al				
Japan/DP0065/2020	2020-02-15	B	1.00	19A	Japan	Japan	19A	202007	LC570968	Homo sapiens	B	Older	Asia	Pathogen Genomics Center; 1-23-1 Toyama, Shinjuku-ku, Tokyo 162-8640	Sekizuka et al				
Homosampiens/CHN/0601_14TY/2020	2020-06-01	B	0.00	19A	China	Hubei	19A	202023	MZ317937	Homo sapiens	B	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al				
IND/THSTI-BAL-47/2020	2020-04-07	B.6	0.00	19A	India	India	19A	202015	MZ356525	Homo sapiens	B.6	Older	Asia	Translational Health Science and Technology Institute, Infection and Immunology	Kumar et al				
IND/GBRC116/2020	2020-05-03	B.6.6	0.00	19A	India	Gujarat	19A	202019	MT509658	Homo sapiens	B.6.6	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al				
PAK/SARS-CoV-2_118/2020	2020-04-25	B.6	0.00	19A	Pakistan	Islamabad Capital Territory	19A	202017	MW422099	Homo sapiens	B.6	Older	Asia	China National Center for Bioinformation / Beijing Institute of Genomics, Chinese Academy of Sciences, National Genomics Data Center	Badar et al				
PHL/GS/2020	2020-04-03	B.6	0.00	19A	Philippines	Manila	19A	202014	MT919768	Homo sapiens	B.6	Older	Asia	AFRIMS, VIROLOGY	Velasco et al				
IRN/COVID19-IRVSH6/2020	2020-05-01	B.4	1.00	19A	Iran	Iran	19A	202018	MT994881	Homo sapiens	B.4.6	Older	Asia	Yaftabad Hospital, Covid lab center	Shahabzadeh et al				
PAK/Gilgit1/2020	2020-03-04	B	0.00	19A	Pakistan	Gilgit Baltistan	19A	202010	MT240479	Homo sapiens	B.4	Older	Asia	National University of Sciences and Technology (NUST), Islamabad, Department of Healthcare Biotechnology	Javed et al				
IRQ/NAJAF/2020	2020-02-20	B.4	0.00	19A	Iraq	Iraq	19A	202008	ON798421	Homo sapiens	B.4	Older	Asia	jabber ibn hyyan medical univirsity, microbiology	Alyasiri et al				
IRN/12624/2020	2020-04-28	B.4	0.00	19A	Iran	Iran	19A	202018	MZ359830	Homo sapiens	B.4	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Azadmanesh et al				
IRN/HGRC-2-2162/2020	2020-03-26	B.4	1.00	19A	Iran	Iran	19A	202013	MT447177	Homo sapiens	B.4	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Khosravi et al				
IRN/KHGRC-3-2178/2020	2020-03-26	B.4	1.00	19A	Iran	Iran	19A	202013	MT459928	Homo sapiens	B.4	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Abbasalipour Bashash et al				
TWN/CGMH-CGU-03/2020	2020-02-26	B.4	0.00	19A	Taiwan	Taiwan	19A	202009	MT370516	Homo sapiens	B.4	Older	Asia	Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine	Tsao et al				
LKA/COV38/2020	2020-03-16	B.4	0.00	19A	Sri Lanka	Sri Lanka	19A	202012	MT371047	Homo sapiens	B.4	Older	Asia	University of Sri Jayewardenepura, Allergy, Immunology and Cell Biology Unit	Jeewandara et al				
IND/nimh-19184/2020	2020-05-14	B.4	0.00	19A	India	Karnataka	19A	202020	MW191511	Homo sapiens	B.4.7	Older	Asia	National Institute of Mental Health and Neurosciences, Neurovirology	Pattabiraman et al	NIMHANS			
IND/166/2020	2020-01-31	A	0.00	19B	India	Kerala	19B	202005	MT050493	Homo sapiens	B	Older	Asia	National Institute of Virology, Maximum Containment Laboratory	Potdar et al				
CHN/SH-P14-A-2-Wuhan/2020	2020-02-18	A	2.00	19B	China	China	19B	202008	OR240440	Homo sapiens	A	Older	Asia	Fudan University, School of life sciense	Lv et al				
COL/79256_Antioquia/2020	2020-03-11	A.5	0.00	19B	Colombia	Antioquia	19B	202011	MT256924	Homo sapiens	A.5	Older	South America	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Mercado-Reyes et al				
PER/covper087/2020	2020-03-21	A.5	0.00	19B	Peru	Peru	19B	202012	MW030223	Homo sapiens	A.5	Older	South America	Instituto Nacional de Salud, Laboratorio de Infecciones Respiratorias Agudas. Centro Nacional de Salud Publica	Juscamayta et al				
CHN/SH-P105-3-Europe-Spain/2020	2020-04-01	A.5	0.00	19B	China	China	19B	202014	OR240558	Homo sapiens	A.5	Older	Asia	Fudan University, School of life sciense	Lv et al				
BEL/GHB-03021/2020	2020-02-03	A	2.00	19B	Belgium	Belgium	19B	202006	MW368439	Homo sapiens	A	Older	Europe	KU Leuven, Rega Institute, Microbiology, Immunology and Transplantation	Baggen et al				
CHN/Beijing_IME-BJ02/2020	2020-01-25	A	0.00	19B	China	Beijing	19B	202004	MT291832	Homo sapiens	A	Older	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al				
VEN/1Z/2020	2020-03-16	A.2	1.00	19B	Venezuela	Venezuela	19B	202012	MT907515	Homo sapiens	A.2	Older	South America	IVIC, CMBC	Loureiro et al				
